Course Name,Course URL,About This Course,Description,keywords
R Programming Fundamentals,https://www.edx.org/learn/r-programming/stanford-university-r-programming-fundamentals?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=58,"This course covers the basics of R: a free programming language and software environment used for statistical computing and graphics. R is widely used by data analysts, statisticians, and data scientists around the world. This course covers an introduction to R, from installation to basic statistical functions. You will learn to work with variable and external data sets, write functions, and hear from one of the co-creators of the R language, Robert Gentleman.","this course covers the basics of r: a free programming language and software environment used for statistical computing and graphics. r is widely used by data analysts, statisticians, and data scientists around the world. this course covers an introduction to r, from installation to basic statistical functions. you will learn to work with variable and external data sets, write functions, and hear from one of the co-creators of the r language, robert gentleman.","programming, statisticians, statistical, computing, software, data, basics, basic, graphics, language"
Data Science: Linear Regression,https://www.edx.org/learn/data-science/harvard-university-data-science-linear-regression?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=59,"Linear regression is commonly used to quantify the relationship between two or more variables. It is also used to adjust for confounding. This course, part ofourProfessional Certificate Program in Data Science, covers how to implement linear regression and adjust for confounding in practice using R. | In data science applications, it is very common to be interested in the relationship between two or more variables. The motivating case study we examine in this course relates to the data-driven approach used to construct baseball teams described in Moneyball. We will try to determine which measured outcomes best predict baseball runs by using linear regression. | We will also examine confounding, where extraneous variables affect the relationship between two or more other variables, leading to spurious associations. Linear regression is a powerful technique for removing confounders, but it is not a magical process. It is essential to understand when it is appropriate to use, and this course will teach you when to apply this technique.","linear regression is commonly used to quantify the relationship between two or more variables. it is also used to adjust for confounding. this course, part ofourprofessional certificate program in data science, covers how to implement linear regression and adjust for confounding in practice using r. | in data science applications, it is very common to be interested in the relationship between two or more variables. the motivating case study we examine in this course relates to the data-driven approach used to construct baseball teams described in moneyball. we will try to determine which measured outcomes best predict baseball runs by using linear regression. | we will also examine confounding, where extraneous variables affect the relationship between two or more other variables, leading to spurious associations. linear regression is a powerful technique for removing confounders, but it is not a magical process. it is essential to understand when it is appropriate to use, and this course will teach you when to apply this technique.","regression, confounders, confounding, predict, motivating, linear, study, associations, data, outcomes"
Generative AI Mastery: Revolutionizing Game Development,https://www.edx.org/learn/computer-science/hp-generative-ai-mastery-revolutionizing-game-development?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=60,"Generative AI has advanced significantly, enabling developers to automate tasks, boost creativity, and improve efficiency. This course delves into how AI can transform various game development aspects, from creating dynamic storylines and lifelike characters to generating stunning visuals and adaptive soundtracks, reshaping the future of game development. | Explore the cutting-edge integration of AI in game development through this hands-on course by HP. Gain essential skills to elevate your game creation process and stay ahead in the industry. | Complete the course and earn a verified certificate for free with referral code 6FJGJOTX7MFH5M2H. | Why learn from us:","generative ai has advanced significantly, enabling developers to automate tasks, boost creativity, and improve efficiency. this course delves into how ai can transform various game development aspects, from creating dynamic storylines and lifelike characters to generating stunning visuals and adaptive soundtracks, reshaping the future of game development. | explore the cutting-edge integration of ai in game development through this hands-on course by hp. gain essential skills to elevate your game creation process and stay ahead in the industry. | complete the course and earn a verified certificate for free with referral code 6fjgjotx7mfh5m2h. | why learn from us:","generative, ai, creativity, automate, visuals, creating, generating, development, developers, creation"
Ethical Hacking Essentials (EHE),https://www.edx.org/learn/information-security/ec-council-ethical-hacking-essentials-ehe?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=61,"Information security refers to securing data and information systems from unauthorized access, unauthorized use, misuse, destruction, or alteration. The goal of information security is to protect the confidentiality, integrity, and availability of digital information. | Information security plays a vital role in all organizations. It is a state of affairs where information, information processing, and communication are protected against confidentiality, integrity, and availability of the information and information processing. In communications, information security also covers trustworthy authentication of messages that cover identification of the parties, verifying, and recording the approval and authorization of the information, non-alteration of the data, and the non-repudiation of the communication or stored data. | Ethical Hacking Essentials (EHE) is a security program covering the fundamental concepts of information security and ethical hacking. It equips students with the skills required to identify the increasing information security threats which reflect on the security posture of the organization and implement general security controls. | This program gives a holistic overview of the key components of information security. It provides a solid fundamental knowledge required for a career in information security. | Why is EHE Important?","information security refers to securing data and information systems from unauthorized access, unauthorized use, misuse, destruction, or alteration. the goal of information security is to protect the confidentiality, integrity, and availability of digital information. | information security plays a vital role in all organizations. it is a state of affairs where information, information processing, and communication are protected against confidentiality, integrity, and availability of the information and information processing. in communications, information security also covers trustworthy authentication of messages that cover identification of the parties, verifying, and recording the approval and authorization of the information, non-alteration of the data, and the non-repudiation of the communication or stored data. | ethical hacking essentials (ehe) is a security program covering the fundamental concepts of information security and ethical hacking. it equips students with the skills required to identify the increasing information security threats which reflect on the security posture of the organization and implement general security controls. | this program gives a holistic overview of the key components of information security. it provides a solid fundamental knowledge required for a career in information security. | why is ehe important?","security, hacking, authentication, securing, authorization, integrity, confidentiality, unauthorized, protected, information"
UX/UI Design Fundamentals,https://www.edx.org/learn/design/institute-of-product-leadership-ipl-ux-ui-design-fundamentals?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=62,"Learn Product Design,ux/ui And Build Strong Design Acumen & Frameworks To Deliver Delighting Product Experiences","learn product design,ux/ui and build strong design acumen & frameworks to deliver delighting product experiences","frameworks, design, ux, ui, build, learn, experiences, product, acumen, delighting"
AI for Marketing Strategy and Creativity,https://www.edx.org/learn/business-management/davidson-and-galileo-ai-for-marketing-strategy-and-creativity?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=63,"Explore the applications of AI in digital marketing through this hands-on course. From leveraging AI for competitive analysis and customer segmentation to implementing AI-driven campaign automation tools across the consumer journey, learn how to craft effective marketing strategies, personalize content, optimize performance, and drive better results in today’s dynamic digital landscape. | This course empowers professionals with the necessary tools to thrive in today’s competitive market. It explores the magic of AI-powered creativity, transforming design, video, music, and optimizing landing pages using text-to-conversion strategies, thereby boosting engagement and conversion rates. Whether you’re a marketer, strategist, or creative professional, proficiency in AI gives you a competitive edge in today’s job market.","explore the applications of ai in digital marketing through this hands-on course. from leveraging ai for competitive analysis and customer segmentation to implementing ai-driven campaign automation tools across the consumer journey, learn how to craft effective marketing strategies, personalize content, optimize performance, and drive better results in today’s dynamic digital landscape. | this course empowers professionals with the necessary tools to thrive in today’s competitive market. it explores the magic of ai-powered creativity, transforming design, video, music, and optimizing landing pages using text-to-conversion strategies, thereby boosting engagement and conversion rates. whether you’re a marketer, strategist, or creative professional, proficiency in ai gives you a competitive edge in today’s job market.","marketing, ai, creativity, market, marketer, campaign, automation, conversion, creative, text"
Developing Front End Apps with React,https://www.edx.org/learn/react-native/ibm-developing-front-end-apps-with-react?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=64,"Over 40% of professional developers rated React as their top web technology. Learn one of the most popular front-end frameworks, JavaScript React, in this hands-on course and ignite your front-end development career in this intermediate course. | Take the next step in your web development journey by learning to build a client-side user interface with React. You will learn how to develop with components, the fundamental building blocks of React applications. You will compose components to create complex functionality using props, hooks, states, and event handling, and integral coding features using function components. You will pass data among components to manipulate their states. | Build your portfolio and gain practical experience by completing numerous hands-on labs in each lesson. At the end of the course, you integrate your skills with a final project by developing a shopping cart application. | This course will help you succeed as a front-end, mobile or full-stack developer. It suits application developers and designers looking to step up their careers or new graduates seeking to establish their client-side skills. You will need basic HTML, CSS, JavaScript, and Git skills to get the most out of this course.","over 40% of professional developers rated react as their top web technology. learn one of the most popular front-end frameworks, javascript react, in this hands-on course and ignite your front-end development career in this intermediate course. | take the next step in your web development journey by learning to build a client-side user interface with react. you will learn how to develop with components, the fundamental building blocks of react applications. you will compose components to create complex functionality using props, hooks, states, and event handling, and integral coding features using function components. you will pass data among components to manipulate their states. | build your portfolio and gain practical experience by completing numerous hands-on labs in each lesson. at the end of the course, you integrate your skills with a final project by developing a shopping cart application. | this course will help you succeed as a front-end, mobile or full-stack developer. it suits application developers and designers looking to step up their careers or new graduates seeking to establish their client-side skills. you will need basic html, css, javascript, and git skills to get the most out of this course.","react, developer, developing, frameworks, developers, javascript, web, components, develop, basic"
CS50's Introduction to Programming with R,https://www.edx.org/learn/r-programming/harvard-university-cs50-s-introduction-to-programming-with-r?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=65,"An introduction to programming using a language called R, a popular language for statistical computing and graphics in data science and other domains. Learn to use RStudio, a popular integrated development environment (IDE). Learn to represent real-world data with vectors, matrices, arrays, lists, and data frames. Filter data with conditions, via which you can analyze subsets of data. Apply functions and loops, via which you can manipulate and summarize data sets. Write functions to modularize code and raise exceptions when something goes wrong. Tidy data with R’s tidyverse and create colorful visualizations with R’s grammar of graphics. By course’s end, learn to package, test, and share R code for others to use. Assignments inspired by real-world data sets.","an introduction to programming using a language called r, a popular language for statistical computing and graphics in data science and other domains. learn to use rstudio, a popular integrated development environment (ide). learn to represent real-world data with vectors, matrices, arrays, lists, and data frames. filter data with conditions, via which you can analyze subsets of data. apply functions and loops, via which you can manipulate and summarize data sets. write functions to modularize code and raise exceptions when something goes wrong. tidy data with r’s tidyverse and create colorful visualizations with r’s grammar of graphics. by course’s end, learn to package, test, and share r code for others to use. assignments inspired by real-world data sets.","programming, rstudio, visualizations, computing, data, tidyverse, assignments, graphics, code, development"
Embedded Systems Essentials with Arm: Getting Started,https://www.edx.org/learn/embedded-systems/arm-education-embedded-systems-essentials-with-arm-getting-started?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=66,"Embedded systems are everywhere – and Arm-based technologies are the industry standard. Getting started could not be easier. This course includes instructions on how to access to an Mbed simulator (refer to the prerequisites section for more details) so you can apply your new knowledge and skills to prototype and build real-world embedded applications quickly, without the trouble or expense of sourcing hardware. | From the mobile, wearable, and smart devices of today to the transformative Artificial Intelligence (AI) and 5G powered Internet of Things (IoT) of the near future, embedded systems are the fundamental building blocks of our connected world. As we move from billions to trillions of intelligent, connected devices, it’s crucial that the next generation of engineers have a thorough understanding of how to rapidly build and deploy a modern embedded system solution. | In this course, you will learn the fundamentals of an embedded system and discover why the Arm architecture and processors are particularly well suited for IoT applications. | Our interactive labs have been designed to cover the technical fundamentals, developing in-demand skills essential for any aspiring embedded systems engineer. | You will begin by learning the characteristics of an embedded system, its components, benefits, and constraints, identify cost-performance trade-offs, and explore why the Arm architecture and processors are particularly well suited for the IoT. | You will then apply your new knowledge of digital and analog I/O, interrupts, low power features, timer and pulse width modulation to program an audio wave generator and audio player, and control peripherals along the way. | All of this will be supported by the Mbed API – so no additional hardware is required, you can download and use the simulator right on your own computer. | Over the six modules, you will gain a key overview of: | The possibilities for future IoT development and connection are enormous. In order to achieve this vision of the future, many engineers and developers will be needed to imagine and design these connected devices and the technologies they are built on. | The world of embedded systems is your doorway into the IoT, and all the opportunities it has to offer.","embedded systems are everywhere – and arm-based technologies are the industry standard. getting started could not be easier. this course includes instructions on how to access to an mbed simulator (refer to the prerequisites section for more details) so you can apply your new knowledge and skills to prototype and build real-world embedded applications quickly, without the trouble or expense of sourcing hardware. | from the mobile, wearable, and smart devices of today to the transformative artificial intelligence (ai) and 5g powered internet of things (iot) of the near future, embedded systems are the fundamental building blocks of our connected world. as we move from billions to trillions of intelligent, connected devices, it’s crucial that the next generation of engineers have a thorough understanding of how to rapidly build and deploy a modern embedded system solution. | in this course, you will learn the fundamentals of an embedded system and discover why the arm architecture and processors are particularly well suited for iot applications. | our interactive labs have been designed to cover the technical fundamentals, developing in-demand skills essential for any aspiring embedded systems engineer. | you will begin by learning the characteristics of an embedded system, its components, benefits, and constraints, identify cost-performance trade-offs, and explore why the arm architecture and processors are particularly well suited for the iot. | you will then apply your new knowledge of digital and analog i/o, interrupts, low power features, timer and pulse width modulation to program an audio wave generator and audio player, and control peripherals along the way. | all of this will be supported by the mbed api – so no additional hardware is required, you can download and use the simulator right on your own computer. | over the six modules, you will gain a key overview of: | the possibilities for future iot development and connection are enormous. in order to achieve this vision of the future, many engineers and developers will be needed to imagine and design these connected devices and the technologies they are built on. | the world of embedded systems is your doorway into the iot, and all the opportunities it has to offer.","iot, hardware, embedded, devices, mbed, 5g, arm, processors, architecture, technologies"
C++ Programming: Basic Skills,https://www.edx.org/learn/c-programming/codio-c-programming-basic-skills?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=67,"Code and run your first C++ program in minutes without installing anything! | This course is designed for learners with no coding experience, providing a solid foundation of not just C++, but core Computer Science topics that can be transferred to other languages. The modules in this course cover printing, operators, iteration (i.e., loops), selection (i.e., conditionals), and vectors (i.e. arrays). | To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and runnable code examples with suggested edits to explore code examples further, building a deeper understanding by doing. You’ll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling code blocks) to small, approachable coding exercises that take minutes instead of hours.","code and run your first c++ program in minutes without installing anything! | this course is designed for learners with no coding experience, providing a solid foundation of not just c++, but core computer science topics that can be transferred to other languages. the modules in this course cover printing, operators, iteration (i.e., loops), selection (i.e., conditionals), and vectors (i.e. arrays). | to allow for a truly hands-on, self-paced learning experience, this course is video-free. assignments contain short explanations with images and runnable code examples with suggested edits to explore code examples further, building a deeper understanding by doing. you’ll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling code blocks) to small, approachable coding exercises that take minutes instead of hours.","coding, program, assignments, code, learners, loops, printing, arrays, iteration, learning"
Operating Systems and Security,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-roles-and-operating-system-security?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=68,"In total, 51% of organizations are planning to increase security investments as a result of a breach (IBM Report). Companies need skilled IT support and cybersecurity professionals now more than ever. Whether you’re just starting out or switching to tech, this course provides the critical operating systems (OS) knowledge you need to move forward. | OS is fundamental to all aspects of computing. In this course, you’ll learn foundational concepts common to all OS and the unique aspects of Windows, Linux, and macOS. | You’ll explore OS file systems and the associated security features. You'll discover the macOS features that revolutionized OS functionality. Moreover, you’ll investigate virtualization and containerization. | Additionally, through labs and a final project, you’ll get hands-on managing virus and threat protection, configuring user accounts and permissions with command-line tools, and securing systems against threats. | If you’re looking to get started in IT or cybersecurity, enroll today to gain essential knowledge in OS that enables you to work toward a career in cybersecurity, system administration, network engineering, or IT support.","in total, 51% of organizations are planning to increase security investments as a result of a breach (ibm report). companies need skilled it support and cybersecurity professionals now more than ever. whether you’re just starting out or switching to tech, this course provides the critical operating systems (os) knowledge you need to move forward. | os is fundamental to all aspects of computing. in this course, you’ll learn foundational concepts common to all os and the unique aspects of windows, linux, and macos. | you’ll explore os file systems and the associated security features. you'll discover the macos features that revolutionized os functionality. moreover, you’ll investigate virtualization and containerization. | additionally, through labs and a final project, you’ll get hands-on managing virus and threat protection, configuring user accounts and permissions with command-line tools, and securing systems against threats. | if you’re looking to get started in it or cybersecurity, enroll today to gain essential knowledge in os that enables you to work toward a career in cybersecurity, system administration, network engineering, or it support.","cybersecurity, os, security, virtualization, macos, linux, securing, protection, windows, ibm"
AWS Cloud Technical Essentials,https://www.edx.org/learn/amazon-web-services-aws/amazon-web-services-aws-cloud-technical-essentials?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=69,"Are you in a technical role and want to learn the fundamentals of AWS? Do you aspire to have a job or career as a cloud developer, architect, or in an operations role? If so, this course is an ideal way to start, as it requires no prior knowledge of cloud computing or AWS products and services. | AWS Cloud Technical Essentials introduces you to essential AWS products, services, and common solutions. The course covers the fundamental concepts of compute, database, storage, networking, monitoring and security that learners and professionals will need to know when working with AWS. | Learn how to get started working on AWS through a highly engaging and hands-on course experience that covers the concepts necessary to become more proficient in identifying AWS services so that you can make informed decisions about IT solutions based on your business requirements. The course also provides information on how to build, compare and apply highly available, fault tolerant, scalable cloud solutions that are cost effective. | Learners who will find this course applicable to their work include: | This is a foundational level course that requires no prior knowledge of cloud computing or AWS products and services.","are you in a technical role and want to learn the fundamentals of aws? do you aspire to have a job or career as a cloud developer, architect, or in an operations role? if so, this course is an ideal way to start, as it requires no prior knowledge of cloud computing or aws products and services. | aws cloud technical essentials introduces you to essential aws products, services, and common solutions. the course covers the fundamental concepts of compute, database, storage, networking, monitoring and security that learners and professionals will need to know when working with aws. | learn how to get started working on aws through a highly engaging and hands-on course experience that covers the concepts necessary to become more proficient in identifying aws services so that you can make informed decisions about it solutions based on your business requirements. the course also provides information on how to build, compare and apply highly available, fault tolerant, scalable cloud solutions that are cost effective. | learners who will find this course applicable to their work include: | this is a foundational level course that requires no prior knowledge of cloud computing or aws products and services.","aws, cloud, requirements, fundamentals, technical, essentials, learners, services, computing, essential"
Introduction to Quantum Computing for Everyone,https://www.edx.org/learn/quantum-computing/university-of-chicago-introduction-to-quantum-computing-for-everyone?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=70,"Quantum computing is coming closer to reality, with 80+ bit machines in active use. This course provides an intuitive introduction to the impacts, underlying phenomenon, and programming principles that underlie quantum computing. | The course begins with an exploration of classes of computational problems that classical computers are not well-suited to solve. We then progress to an intuitive introduction to key QIS concepts that underlie quantum computing. Next, we introduce individual quantum operations, but with a symbolic representation and mathematical representation. A limited set of linear algebra operations will be taught so that students can calculate operation results. Finally, we string these individual operations together to create the first algorithm that illustrates the performance advantage resulting from these unique operations.","quantum computing is coming closer to reality, with 80+ bit machines in active use. this course provides an intuitive introduction to the impacts, underlying phenomenon, and programming principles that underlie quantum computing. | the course begins with an exploration of classes of computational problems that classical computers are not well-suited to solve. we then progress to an intuitive introduction to key qis concepts that underlie quantum computing. next, we introduce individual quantum operations, but with a symbolic representation and mathematical representation. a limited set of linear algebra operations will be taught so that students can calculate operation results. finally, we string these individual operations together to create the first algorithm that illustrates the performance advantage resulting from these unique operations.","quantum, computing, qis, computational, operations, programming, algebra, machines, computers, operation"
A Complete Guide to Game Design,https://www.edx.org/learn/game-design/hp-a-complete-guide-to-game-design?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=71,"The conceptualization, development, and implementation of all the elements that make up an entire game constitutes game design. It includes gameplay, art, sound, and storytelling. | The field of game design has grown significantly in recent years, as video games have become a major form of entertainment with an estimated 3 billion users worldwide. | Embark on an exciting journey into the dynamic realm of game design through this comprehensive course from HP. Remember to obtain your certification for free by using referral code6FJGJOTX7MFH5M2H | Why learn from us:","the conceptualization, development, and implementation of all the elements that make up an entire game constitutes game design. it includes gameplay, art, sound, and storytelling. | the field of game design has grown significantly in recent years, as video games have become a major form of entertainment with an estimated 3 billion users worldwide. | embark on an exciting journey into the dynamic realm of game design through this comprehensive course from hp. remember to obtain your certification for free by using referral code6fjgjotx7mfh5m2h | why learn from us:","gameplay, design, games, hp, game, entertainment, storytelling, development, art, code6fjgjotx7mfh5m2h"
Cybersecurity Compliance and Framework,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-compliance-and-system-administration?index=product&queryId=b64b9cde73918ccd3ada2b62a007b3f5&position=72,"Cyberthreats present a constant challenge today, costing billions and affecting everyone, from governments to small businesses. Are you ready to contribute to the solution? | This course will provide you with a deep understanding of cybersecurity principles, industry standards, regulations, and audit processes. You will explore the fundamental concepts of information security and compliance, covering topics such as governance, risk, compliance, cybersecurity frameworks, and process management. | You will also learn about IT service management and explore the NIST Risk Management Framework and artificial intelligence (AI) ethical considerations. You will gain insights into cybersecurity laws and regulations, focusing on both US and global perspectives, including HIPPA, GDPR, and PCI DSS. Additionally, you will familiarize yourself with the audit processes using the COBIT framework and SOC reports. You will also explore prominent standards such as OWASP, ISO, and IEEE, learning how to apply them effectively. | Throughout this five-module self-paced course, you will engage in interactive activities to apply your knowledge in real-world scenarios. You will also complete a final project to test your skills and showcase your understanding.","cyberthreats present a constant challenge today, costing billions and affecting everyone, from governments to small businesses. are you ready to contribute to the solution? | this course will provide you with a deep understanding of cybersecurity principles, industry standards, regulations, and audit processes. you will explore the fundamental concepts of information security and compliance, covering topics such as governance, risk, compliance, cybersecurity frameworks, and process management. | you will also learn about it service management and explore the nist risk management framework and artificial intelligence (ai) ethical considerations. you will gain insights into cybersecurity laws and regulations, focusing on both us and global perspectives, including hippa, gdpr, and pci dss. additionally, you will familiarize yourself with the audit processes using the cobit framework and soc reports. you will also explore prominent standards such as owasp, iso, and ieee, learning how to apply them effectively. | throughout this five-module self-paced course, you will engage in interactive activities to apply your knowledge in real-world scenarios. you will also complete a final project to test your skills and showcase your understanding.","cybersecurity, cyberthreats, security, audit, regulations, compliance, ieee, cobit, gdpr, pci"
"Impact, Ethics, and Issues with Generative AI",https://www.edx.org/learn/artificial-intelligence/ibm-generative-ai-impact-issues-and-ethical-concerns?index=product&queryId=3dcc09f6b0826b0a9abd757cb4655062&position=73,"In this course, you will explore the impact of generative artificial intelligence (AI) on society, the workforce, organizations, and the environment. | This course is suitable for anyone interested in learning about the ethical, economic, and social implications of generative AI and how generative AI can be used responsibly. It will benefit professionals, executives, policymakers, and students. | In this course, you will learn about the ethical concerns of generative AI, including data privacy, biases, copyright infringement, and hallucination. You will identify the misuses related to generative AI, including deepfakes. | Further, in the course, you will examine the considerations for the responsible use of generative AI. You will explore the broader implications of generative AI on transparency, accountability, privacy, and safety. Finally, you will learn about the socioeconomic impacts of generative AI. | The examples and cases included in the course help to realize the considerations for generative AI in real-life scenarios. You will hear from practitioners about the realities, limitations, and ethical considerations of generative AI.","in this course, you will explore the impact of generative artificial intelligence (ai) on society, the workforce, organizations, and the environment. | this course is suitable for anyone interested in learning about the ethical, economic, and social implications of generative ai and how generative ai can be used responsibly. it will benefit professionals, executives, policymakers, and students. | in this course, you will learn about the ethical concerns of generative ai, including data privacy, biases, copyright infringement, and hallucination. you will identify the misuses related to generative ai, including deepfakes. | further, in the course, you will examine the considerations for the responsible use of generative ai. you will explore the broader implications of generative ai on transparency, accountability, privacy, and safety. finally, you will learn about the socioeconomic impacts of generative ai. | the examples and cases included in the course help to realize the considerations for generative ai in real-life scenarios. you will hear from practitioners about the realities, limitations, and ethical considerations of generative ai.","generative, ai, ethical, privacy, artificial, intelligence, accountability, policymakers, learning, responsible"
Linear Algebra - Foundations to Frontiers,https://www.edx.org/learn/linear-algebra/the-university-of-texas-at-austin-linear-algebra-foundations-to-frontiers?index=product&queryId=3dcc09f6b0826b0a9abd757cb4655062&position=74,"Linear Algebra: Foundations to Frontiers (LAFF) is packed full of challenging, rewarding material that is essential for mathematicians, engineers, scientists, and anyone working with large datasets. Students appreciate our unique approach to teaching linear algebra because: | In this course, you will learn all the standard topics that are taught in typical undergraduate linear algebra courses all over the world, but using our unique method, you'll also get more! LAFF was developed following the syllabus of an introductory linear algebra course at The University of Texas at Austin taught by Professor Robert van de Geijn, an expert on high performance linear algebra libraries. Through short videos, exercises, visualizations, and programming assignments, you will study Vector and Matrix Operations, Linear Transformations, Solving Systems of Equations, Vector Spaces, Linear Least-Squares, and Eigenvalues and Eigenvectors. In addition, you will get a glimpse of cutting edge research on the development of linear algebra libraries, which are used throughout computational science. | MATLAB licenses will be made available to the participants free of charge for the duration of the course. | To see what former learners have to say about the course, read reviews oncoursetalk. | We invite you to LAFF with us!","linear algebra: foundations to frontiers (laff) is packed full of challenging, rewarding material that is essential for mathematicians, engineers, scientists, and anyone working with large datasets. students appreciate our unique approach to teaching linear algebra because: | in this course, you will learn all the standard topics that are taught in typical undergraduate linear algebra courses all over the world, but using our unique method, you'll also get more! laff was developed following the syllabus of an introductory linear algebra course at the university of texas at austin taught by professor robert van de geijn, an expert on high performance linear algebra libraries. through short videos, exercises, visualizations, and programming assignments, you will study vector and matrix operations, linear transformations, solving systems of equations, vector spaces, linear least-squares, and eigenvalues and eigenvectors. in addition, you will get a glimpse of cutting edge research on the development of linear algebra libraries, which are used throughout computational science. | matlab licenses will be made available to the participants free of charge for the duration of the course. | to see what former learners have to say about the course, read reviews oncoursetalk. | we invite you to laff with us!","matlab, matrix, eigenvectors, courses, programming, linear, assignments, libraries, computational, introductory"
Introduction to Blockchain and Web3,https://www.edx.org/learn/blockchain/web3-foundation-introduction-to-blockchain-and-web3?index=product&queryId=3dcc09f6b0826b0a9abd757cb4655062&position=75,"Developed by the Technical Education team at the Web3 Foundation, this course introduces the fundamental concepts of Blockchain technology and Web3. | First, we go over the history and the key terminology of blockchains, Bitcoin, Ethereum and Web3 and then take a deep dive into the technology that powers blockchains. The concepts of cryptography and hashing in the context of blockchains are explored along with hands-on activities that familiarize the learners with digital wallets and blockchain explorers. Next, we explore the concepts of block production and finality, consensus, nodes and networking in blockchain networks. Towards the end of the course, we will explore the blockchain layers and applications centered around networks like Bitcoin, Ethereum and Polkadot. We wrap up the course by exploring the current landscape of Web3 and the future of blockchain technology. | The course is open to learners from all backgrounds. The key objective of this course is to provide a strong foundational knowledge pertaining to Blockchain and Web3.","developed by the technical education team at the web3 foundation, this course introduces the fundamental concepts of blockchain technology and web3. | first, we go over the history and the key terminology of blockchains, bitcoin, ethereum and web3 and then take a deep dive into the technology that powers blockchains. the concepts of cryptography and hashing in the context of blockchains are explored along with hands-on activities that familiarize the learners with digital wallets and blockchain explorers. next, we explore the concepts of block production and finality, consensus, nodes and networking in blockchain networks. towards the end of the course, we will explore the blockchain layers and applications centered around networks like bitcoin, ethereum and polkadot. we wrap up the course by exploring the current landscape of web3 and the future of blockchain technology. | the course is open to learners from all backgrounds. the key objective of this course is to provide a strong foundational knowledge pertaining to blockchain and web3.","blockchains, blockchain, bitcoin, ethereum, web3, cryptography, hashing, block, networking, layers"
Introduction to Object-Oriented Programming with Java I: Foundations and Syntax Basics,https://www.edx.org/learn/java/the-georgia-institute-of-technology-introduction-to-object-oriented-programming-with-java-i-foundations-and-syntax-basics?index=product&queryId=3dcc09f6b0826b0a9abd757cb4655062&position=76,"This course provides an introduction to the Java programming language. It gives students a foundational overview and history of Java, and students will learn about the language’s basic syntax. At the end, they will be able to develop interactive console programs with basic data processing and formatting capabilities.","this course provides an introduction to the java programming language. it gives students a foundational overview and history of java, and students will learn about the language’s basic syntax. at the end, they will be able to develop interactive console programs with basic data processing and formatting capabilities.","java, programming, syntax, interactive, basic, programs, language, console, students, processing"
Foundations of Data Analytics,https://www.edx.org/learn/data-analysis/the-hong-kong-university-of-science-and-technology-foundations-of-data-analytics?index=product&queryId=3dcc09f6b0826b0a9abd757cb4655062&position=77,"Foundations of Data Analytics: This course will provide fundamental techniques for data analytics, including data collection, data extraction, data integration, data cleansing, and basic machine learning techniques. The learners will learn how to manage and optimize the analytics value chain, including collecting and extracting the suitable values, selecting the right data processing, integrating the data from various resources, with programming tools such as Python. This course will also introduce data security and privacy.","foundations of data analytics: this course will provide fundamental techniques for data analytics, including data collection, data extraction, data integration, data cleansing, and basic machine learning techniques. the learners will learn how to manage and optimize the analytics value chain, including collecting and extracting the suitable values, selecting the right data processing, integrating the data from various resources, with programming tools such as python. this course will also introduce data security and privacy.","analytics, data, python, programming, learning, learners, privacy, processing, basic, security"
