Course Name,About This Course
Introduction to Web Accessibility,"Accessibility is essential for individuals and organizations that want to create high-quality websites and apps – and not exclude people from using their products and services. This course gives you the foundation in accessibility you need to excel in digital professions. It is designed for: | Optional material help you learn more about the topics you are most interested in. | In this course, you will learn about the international standards for web accessibility from the W3C – including Web Content Accessibility Guidelines (WCAG) and WAI-ARIA for Accessible Rich Internet Applications – and first steps in applying them. | You will also learn the broad scope of web accessibility, how people with disabilities use different assistive technologies and adaptive strategies, the business benefits of web accessibility, and where to find W3C resources on implementing accessibility. | The course is structured so that you can focus on the topics that you are most interested in. Optional activities and additional materials provide more learning on specific topics. Learnmore. | Don’t miss this unique course from theW3C Web Accessibility Initiative (WAI)in cooperation with theUnited Nations Educational, Scientific and Cultural Organization (UNESCO) Institute for Information Technology in Education (IITE). It brings together international expert trainers from Deque, Infoaxia, Intopia, Knowbility, The Paciello Group, and Web Key IT, and implements the open curriculum developed by theW3C WAI Education and Outreach Working Group (EOWG)."
CS50's Introduction to Programming with Scratch,"An introduction to programming using Scratch, a visual programming language via which aspiring programmers can write code by dragging and dropping graphical blocks (that resemble puzzle pieces) instead of typing out text. Used at the start of Harvard College's introductory course in computer science, CS50, Scratch was designed at MIT's Media Lab, empowering students with no prior programming experience to design their own animations, games, interactive art, and stories. Using Scratch, this course introduces students to fundamentals of programming, found not only in Scratch itself but in traditional text-based languages (like Java and Python) as well. Topics include: functions, which are instructions that perform tasks; return values, which are results that functions provide; conditions, via which programs can decide whether or not to perform some action; loops, via which programs can take action again and again; variables, via which programs can remember information; and more. Ultimately, this course prepares students for subsequent courses in programming. | Scratch is developed by the Lifelong Kindergarten Group at the MIT Media Lab. Seescratch.mit.edu."
Computer Science 101,"CS101 is a self-paced course that teaches the essential ideas of Computer Science for a zero-prior-experience audience. Computers can appear very complicated, but in reality, computers work within just a few, simple patterns. CS101 demystifies and brings those patterns to life, which is useful for anyone using computers today. | In CS101, participants play and experiment with short bits of ""computer code"" to bring to life to the power and limitations of computers. Everything works within the browser, so there is no extra software to download or install. CS101 also provides a general background on computers today: what is a computer, what is hardware, what is software, what is the internet. Anyone who has the ability to use a web browser may be successful in this course. No previous computer science experience is required."
Cybersecurity Basics: Tools and Cyberattacks,"Cyberattacks have surged by 71% and are predicted to continue increasing. This alarming statistic highlights the continued demand for cybersecurity professionals. Jumpstart your cybersecurity career with this introductory IBM course, which introduces you to fundamental cybersecurity concepts, threats, and preventive measures. | Explore the evolution of cybersecurity and the motivations of the actors behind cyberattacks, including types such as malware, ransomware, and other security threats. You'll also relate critical thinking to common cybersecurity practices and architecture. | Hear from industry experts regarding their own careers, skills, perspectives, and experiences. Frameworks, standards, and organizations play a fundamental role in cybersecurity, which you will also investigate. | Throughout, you’ll build practical knowledge and technical expertise through hands-on labs. Your final project will enable you to effectively demonstrate your understanding of cybersecurity principles. | This course is for anyone who wants to know the basics of cybersecurity and is part of a series designed to help you start a career as a Cybersecurity Analyst."
Introduction to Kubernetes,"Is your team beginning to use Kubernetes for container orchestration? Do you need guidelines on how to start transforming your organization with Kubernetes and cloud native patterns? Would you like to simplify software container orchestration and find a way to grow your use of Kubernetes without adding infrastructure complexity? Then this is the course for you! | In this course, we'll discuss some of Kubernetes' basic concepts and talk about the architecture of the system, the problems it solves, and the model that it uses to handle containerized deployments and scaling. | This course offers an introduction to Kubernetes and includes technical instructions on how to deploy a stand-alone and multi-tier application. You’ll learn about ConfigMaps and Secrets, and how to use Ingress. | Upon completion, developers will have a solid understanding of the origin, architecture and building blocks for Kubernetes, and will be able to begin testing the new cloud native pattern to begin the cloud native journey."
Data Science: Visualization,"As part of ourProfessional Certificate Program in Data Science, this course covers the basics of data visualization and exploratory data analysis. We will use three motivating examples and ggplot2, a data visualization package for the statistical programming language R. We will start with simple datasets and then graduate to case studies about world health, economics, and infectious disease trends in the United States. | We'll also be looking at how mistakes, biases, systematic errors, and other unexpected problems often lead to data that should be handled with care. The fact that it can be difficult or impossible to notice a mistake within a dataset makes data visualization particularly important. | The growing availability of informative datasets and software tools has led to increased reliance on data visualizations across many areas. Data visualization provides a powerful way to communicate data-driven findings, motivate analyses, and detect flaws. This course will give you the skills you need to leverage data to reveal valuable insights and advance your career."
Data Science and Agile Systems for Product Management,"Modern systems today must be designed for agility in order to outpace the competition. Concepts like Agile, DevOps, and Data Science were once considered only for the technology-based companies. Today that means every company. Because there is no greater currency than timely information for optimizing operations and meeting the needs of customers. | Modern product management requires that every development and operations value stream is identified and continuously improved. This means using Lean and DevOps principles to streamline handoffs and information flows across teams. It means reorienting towards self-service and automation wherever possible. And to avoid incrementalism, it means a robust Agile development process to keep innovations important and aggressive enough to make noticeable improvements in value delivery. | Agile systems in a DevOps environment requires that products are built completely differently from a traditional designs. Modularity, open set architectures, and flexible data management paradigms are a starting point. The evolutionary nature of the product with so much change enables functionality, design, and technology to drive and influence each other simultaneously. And beneath it all is a data collection and feedback loop essential for anticipating and reacting to business needs both for operations and marketing. | Data science and analytics are the lifeblood of any product organization, and enable product managers to tackle risks early. Luckily, new technologies allow us to collect and integrate data without extreme upfront constraints and onerous controls. This means all data is fair game, and when tagged and stored properly, can be made available at nearly any scale for preparation, visualization, analysis, and modeling. | We’ll teach you the paradigms, processes, and introduce some key technologies that make the data-driven product organization the optimal competitor in the market."
CS50's Computer Science for Lawyers,"This course is a variant of HarvardUniversity's introduction to computer science, CS50, designed especially for lawyers (and law students). Whereas CS50 itself takes a bottom-up approach, emphasizing mastery of low-level concepts and implementation details thereof, this course takes a top-down approach, emphasizing mastery of high-level concepts and design decisions related thereto. Ultimately, it equips students with a deeper understanding of the legal implications of technological decisions made by clients. | Through a mix of technical instruction and discussion of case studies, this course empowers students to be informed contributors to technology-driven conversations. In addition, it prepares students to formulate technology-informed legal arguments and opinions. Along the way, it equips students with hands-on experience with Python and SQL, languages via which they can mine data for answers themselves. | Topics include algorithms, cloud computing, databases, networking, privacy, programming, scalability, security, and more, with a particular emphasis on understanding how the work developers do and the technological solutions they employ may impact clients. Students emerge from this course with first-hand appreciation of how it all works and all the more confident in the factors that should guide their decision-making. | Keywords:law firm, computer programming, programming skills, computer programmers, patent attorney, legal practice, legal services, legal education, patent law"
Databases: Relational Databases and SQL,"About the Database Series of Courses | ""Databases"" was one of Stanford's three inaugural massive open online courses in the fall of 2011. It has been offered in synchronous and then in self-paced versions on a variety of platforms continuously since 2011. The material is now being offered as a set of five self-paced courses, which can be taken in a variety of ways to learn about different aspects of databases. | Relational Databases and SQLis the most popular course in the Databases series. It is applicable to learners seeking to gain a strong understanding of relational databases, and to master SQL, the long-accepted standard query language for relational database systems. Additional courses focus on advanced concepts in relational databases and SQL, formal foundations and database design methodologies, and semistructured data. | All of the courses are based around video lectures and demos. Many of them include quizzes between video segments to check understanding, in-depth standalone quizzes, and/or a variety of automatically-checked interactive exercises. Each course also includes an unmoderated discussion forum and pointers to readings and resources. The courses are described briefly below. Taught by Professor Jennifer Widom, the overall curriculum draws from Stanford's popular longstanding Databases course. | Why Learn About Databases | Databases are incredibly prevalent -- they underlie technology used by most people every day if not every hour. Databases reside behind a huge number of websites; they're a crucial component of telecommunications systems, banking systems, video games, and just about any other software system or electronic device that maintains some amount of persistent information. In addition to persistence, database systems provide a number of other properties that make them exceptionally useful and convenient: reliability, efficiency, scalability, concurrency control, data abstractions, and high-level query languages. Databases are so ubiquitous and important that computer science graduates frequently cite their database class as the one most useful to them in their industry or graduate-school careers."
Introduction to Probability,"Probability and statistics help to bring logic to a world replete with randomness and uncertainty. This course will give you tools needed to understand data, science, philosophy, engineering, economics, and finance. You will learn not only how to solve challenging technical problems, but also how you can apply those solutions in everyday life. | With examples ranging from medical testing to sports prediction, you will gain a strong foundation for the study of statistical inference, stochastic processes, randomized algorithms, and other subjects where probability is needed."
Use AI for Everyday Tasks,"Use AI for Everyday Tasks"" equips you with the foundational knowledge and practical skills to leverage AI in your daily workflow. You'll begin by understanding the core concepts of generative AI, including LLMs and NLPs, and explore their everyday applications, from smart assistants to AI agents. This course emphasizes responsible and effective AI usage, ensuring you can integrate these technologies ethically. Dive into the basics of prompting, discover easy opportunities to experiment with AI, and try out sample prompts in Copilot, such as drafting emails, developing study plans, and creating podcasts. Commit to a daily AI experiment to build your skills incrementally. Learn to personalize fill-in-the-blank prompts with specific goals, timelines, and topics in Copilot, and use ""Think Deeper"" to expand on your results. Identify valuable prompting resources like the Copilot Prompt Gallery and Scenario library. Explore various AI tools and build on results using walkthrough examples. Check your knowledge throughout the course, recap key points, and sign up for a 50-day challenge to deepen your learning. This course empowers you to confidently and effectively use AI to enhance your productivity and creativity."
Probability - The Science of Uncertainty and Data,"The world is full of uncertainty: accidents, storms, unruly financial markets, noisy communications. The world is also full of data. Probabilistic modeling and the related field of statistical inference are the keys to analyzing data and making scientifically sound predictions. | Probabilistic models use the language of mathematics. But instead of relying on the traditional ""theorem-proof"" format, we develop the material in an intuitive -- but still rigorous and mathematically-precise -- manner. Furthermore, while the applications are multiple and evident, we emphasize the basic concepts and methodologies that are universally applicable. | The course covers all of the basic probability concepts, including: | The contents of this courseare heavily based upon the corresponding MIT class --Introduction to Probability-- a course that has been offered and continuously refined over more than 50 years. It is a challenging class but will enable you to apply the tools of probability theory to real-world applications or to your research. | This course is part of theMITx MicroMasters Program in Statistics and Data Science. Master the skills needed to be an informed and effective practitioner of data science. You will complete this course and three others from MITx, at a similar pace and level of rigor as an on-campus course at MIT, and then take a virtually-proctored exam to earn your MicroMasters, an academic credential that will demonstrate your proficiency in data science or accelerate your path towards an MIT PhD or a Master's at other universities. To learn more about this program, please visithttps://micromasters.mit.edu/ds/."
Google Cloud Computing Foundations: Cloud Computing Fundamentals,"Cloud Computing is revolutionizing today’s world. It affects the way we communicate, do business, interact with everyday things and one another. This course discusses the fundamental theoretical and practical applications of Cloud Computing. It provides the basic concepts to understand why cloud computing is and will be such an important part of future jobs and businesses. It focuses on Google Cloud’s extended solutions and compute options."
Introduction to Linux,"Develop a good working knowledge of Linux using both the graphical interface and command line, covering the major Linux distribution families. | Linux powers 100% of the world’s supercomputers, most of the servers powering the Internet, the majority of financial trades worldwide and over two billion Android devices. In short, Linux is everywhere. It appears in many different architectures, from mainframes to server to desktop to mobile and on a staggeringly wide variety of hardware. | Moreover, 80 percent of hiring managers reported that they will prioritize hiring Linux talent relative to other skills areas, and 47 percent of hiring managers say they’re more likely to hire a candidate with Linux certification. | This course explores the various tools and techniques commonly used by Linux system administrators and end users to achieve their day-to-day work in a Linux environment. It is designed for experienced computer users who have limited or no previous exposure to Linux, whether they are working in an individual or Enterprise environment. | Upon completion of this training you should have a good working knowledge of Linux, from both a graphical and command line perspective, allowing you to easily navigate through any of the major Linux distributions. You will be able to continue your progress as either a user, system administrator or developer using the acquired skill set. | Join the 1,000,000+ learners who are already enrolled in this course and start your Linux journey."
Introduction to Generative AI,"This course is your first step toward understanding the capabilities of generative AI, powered by different models, including large language models (LLMs). | In this course, you will learn about the fundamentals and evolution of generative AI. You will explore the capabilities of generative AI in different domains, including text, image, audio, video, virtual worlds, code, and data. You will understand the applications of Generative AI across different sectors and industries. You will learn about the capabilities and features of common generative AI models and tools, such as GPT, DALL-E, Stable Diffusion, and Synthesia. | Hands-on labs, included in the course, provide an opportunity to explore the use cases of generative AI through IBM Generative AI Classroom and popular tools like ChatGPT. You will also hear from the practitioners about the capabilities, applications, and tools of Generative AI. | This course is designed for everyone, including professionals, executives, students, and enthusiasts, interested in learning about generative AI and leveraging its capabilities in their work and lives."
"Introduction to Web Development with HTML5, CSS3, and JavaScript.","Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge! | Want to take the first steps to become a Cloud Application Developer? This self-paced online course will lead you through the programming languages and tools you will need to develop your own Cloud and Web Applications. | Beginning with an explanation of how internet servers, and clients work together to deliver applications to users, this course takes you through the context for application development in the Cloud, introducing front-end, back-end, and full stack development. | You’ll then focus on the languages you need for front-end development, working with HTML5, CSS3, and JavaScript. | Finally, you will discover tools such as Git, GitHub, and GitLab, that help you to store your projects and keep track of changes made to project files (version control) and enable collaboration and continuos deployment."
Circuits and Electronics 1: Basic Circuit Analysis,"Want to learn about circuits and electronics, but unsure where to begin? Wondering how to make computers run faster or your mobile phone battery last longer? This free circuits course taught by edX CEO and MIT Professor Anant Agarwal and colleagues is for you. | This is the first of three online Circuits & Electronics courses offered by Professor Anant Agarwal and colleagues at MIT, and is taken by all MIT Electrical Engineering and Computer Science (EECS) majors. | Topics covered include: resistive elements and networks; circuit analysis methods including KVL, KCL and the node method; independent and dependent sources; linearity, superposition, Thevenin & Norton methods; digital abstraction, combinational gates; and MOSFET switches and small signal analysis. Design and lab exercises are also significant components of the course. | Weekly coursework includes interactive video sequences, readings from the textbook, homework, online laboratories, and optional tutorials. The course will also have a final exam. | This is a self-paced course, so there are no weekly deadlines. However, all assignments are due when the course ends."
AI Applications and Prompt Engineering,"Are you looking to expand your AI application knowledge and create your own application? Enroll in our Intro to AI Applications and Prompt Engineering course to see how you can make AI work for you. | By the end of the course, you will be able to: | To enroll in this course and utilize ChatGPT's API, which is a required part of the course, students must have a credit card to access OpenAI's ChatGPT API. Your credit card will be charged whatever usage amounts you incur by OpenAI to access the ChatGPT API, and this dollar charge is separate from and in addition to the fee paid to enroll in the verified course track."
Introduction to Prompt Engineering,"Prompt engineering is a process to effectively guide generative AI models and control their output to produce desired results. In this course, you will learn the techniques, approaches, and best practices for writing effective prompts. | You will learn about prompt techniques like zero-shot and few-shot, which can improve the reliability and quality of large language models (LLMs). You will also explore various prompt engineering approaches like Interview Pattern, Chain-of-Thought, and Tree-of-Thought, which aim at generating precise and relevant responses. | You will be introduced to commonly used prompt engineering tools like IBM watsonx Prompt Lab, Spellbook, and Dust. | The hands-on labs included in the course offer an opportunity to optimize results by creating effective prompts in the IBM Generative AI Classroom. You will also hear from practitioners about the tools and approaches used in prompt engineering and the art of writing effective prompts. | This course is designed for everyone, including professionals, executives, students, and enthusiasts interested in leveraging effective prompt engineering techniques to unlock the full potential of generative artificial intelligence (AI) tools like ChatGPT."
Using Python for Research,"This course bridges the gap between introductory and advanced courses in Python. While there are many excellent introductory Python courses available, most typically do not go deep enough for you to apply your Python skills to research projects. In this course, after first reviewing the basics of Python 3, we learn about tools commonly used in research settings. This version of the course includes a new module on statistical learning. | Using a combination of a guided introduction and more independent in-depth exploration, you will get to practice your new Python skills with various case studies chosen for their scientific breadth and their coverage of different Python features."
Databases: Advanced Topics in SQL,"About the Database Series of Courses | ""Databases"" was one of Stanford's three inaugural massive open online courses in the fall of 2011. It has been offered in synchronous and then in self-paced versions on a variety of platforms continuously since 2011. The material is now being offered as a set of five self-paced courses, which can be taken in a variety of ways to learn about different aspects of databases. | Relational Databases and SQLis the most popular course in the Databases series. It is applicable to learners seeking to gain a strong understanding of relational databases, and to master SQL, the long-accepted standard query language for relational database systems. Additional courses focus on advanced concepts in relational databases and SQL, formal foundations and database design methodologies, and semistructured data. | All of the courses are based around video lectures and demos. Many of them include quizzes between video segments to check understanding, in-depth standalone quizzes, and/or a variety of automatically-checked interactive exercises. Each course also includes an unmoderated discussion forum and pointers to readings and resources. The courses are described briefly below. Taught by Professor Jennifer Widom, the overall curriculum draws from Stanford's popular longstanding Databases course. | Why Learn About Databases | Databases are incredibly prevalent -- they underlie technology used by most people every day if not every hour. Databases reside behind a huge number of websites; they're a crucial component of telecommunications systems, banking systems, video games, and just about any other software system or electronic device that maintains some amount of persistent information. In addition to persistence, database systems provide a number of other properties that make them exceptionally useful and convenient: reliability, efficiency, scalability, concurrency control, data abstractions, and high-level query languages. Databases are so ubiquitous and important that computer science graduates frequently cite their database class as the one most useful to them in their industry or graduate-school careers."
Beginners Guide to Cybersecurity,"A tech talent shortage continues as organizations adopt higher security standards to address the ongoing risk of threats and breaches. This course builds key skills to address common security threats and risks and provides best practices to guard against them. | This course is designed for everyone, especially those interested in a Cyber Analyst I or an entry-level Cloud & Security Engineer role, as well as Tech Support. Diving into the world of cybersecurity, you’ll gain critical skills employers need, including identifying security threats, understanding encryption uses, demonstrating safe browsing techniques, implementing email security best practices. and identifying and becoming familiar with various types of cybersecurity risks and threats. This course is ideal for technical support roles, often on the front lines of defense for cybersecurity issues."
Introduction to Cloud Computing,"Please Note: Learners who successfully complete this IBM course can earn a skill badge —a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge! | Begin your cloud computing mastery with this easy-to-follow, self-paced course. Gain the essential knowledge needed to understand cloud computing from a business perspective and as a hands-on cloud practitioner. | This course immerses you in the world of notable cloud service providers, including AWS, Google, IBM, and Microsoft. Explore their offered services and examine real-world applications through industry-specific case studies. You'll also dive into cloud adoption and its connection with technologies such as blockchain, analytics, and AI. | Discover the diverse cloud service models—Infrastructure as a Service (IaaS), Platform as a Service (PaaS), Software as a Service (SaaS)—and deployment models—public, private, and hybrid. You'll grasp the core elements of cloud infrastructure, including VMs, networking, storage types, and CDNs. You’ll learn about emerging trends like Hybrid Multicloud, Microservices, Serverless, DevOps, Cloud Native, and Application Modernization. Learn the basics of cloud security, monitoring, and understand various roles in the cloud industry. | Throughout the course, you’ll hear from subject matter experts who will share their insights into Cloud technology and work as a Cloud Practitioner. | You'll gain hands-on experience, having deployed an application on IBM Cloud—a shareable project that makes for an impressive employment portfolio addition! | Whether you're an executive, manager, student, or professional seeking familiarity with cloud computing terminology and concepts, or you aim for a solid grounding in cloud computing for a career as a cloud engineer, full stack developer, DevOps engineer, service reliability engineer, or cybersecurity analyst, this course is your starting point."
CS50's Computer Science for Business Professionals,"This isCS50’s introduction to computer science for business professionals, designed for managers, product managers, founders, and decision-makers more generally. WhereasCS50itself takes a bottom-up approach, emphasizing mastery of low-level concepts and implementation details thereof, this course takes a top-down approach, emphasizing mastery of high-level concepts and design decisions related thereto. Through lectures on computational thinking, programming languages, internet technologies, web development, technology stacks, and cloud computing, this course empowers you to make technological decisions even if not a technologist yourself. You’ll emerge from this course with first-hand appreciation of how it all works and all the more confident in the factors that should guide your decision-making."
