Unnamed: 0,Course Name,Course URL,About This Course,keywords
10,CS50's Introduction to Databases with SQL,https://www.edx.org/learn/sql/harvard-university-cs50-s-introduction-to-databases-with-sql?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=11,"this is cs50's introduction to databases using a language called sql. learn how to create, read, update, and delete data with relational databases, which store data in rows and columns. learn how to model real-world entities and relationships among them using tables with appropriate types, triggers, and constraints. learn how to normalize data to eliminate redundancies and reduce potential for errors. learn how to join tables together using primary and foreign keys. learn how to automate searches with views and expedite searches with indexes. learn how to connect sql with other languages like python and java. course begins with sqlite for portability's sake and ends with introductions to postgresql and mysql for scalability's sake as well. assignments inspired by real-world datasets.","databases, sql, datasets, sqlite, postgresql, relational, mysql, python, tables, java"
11,Python Basics for Data Science,https://www.edx.org/learn/python/ibm-python-basics-for-data-science?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=12,"please note: learners who successfully complete this ibm course can earn a skill badge —a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. enroll to learn more, complete the course and claim your badge! | kickstart your learning of python for data science, as well as programming in general with this introduction to python course.this beginner-friendly python course will quickly take you from zero to programming in python in a matter of hours and give you a taste of how to start working with data in python. ~~~~ | upon its completion, you'll be able to write your own python scripts and perform basic hands-on data analysis using our jupyter-based lab environment. if you want to learn python from scratch, this course is for you. | you can start creating your own data science projects and collaborating with other data scientists usingibm watson studio. when you sign up, you will receive free access to watson studio. start now and take advantage of this platform and learn the basics of programming, machine learning, and data visualization with this introductory course.","python, programming, beginner, watson, jupyter, data, ibm, basics, basic, introductory"
12,Introduction to Web Accessibility,https://www.edx.org/learn/web-accessibility/the-world-wide-web-consortium-w3c-introduction-to-web-accessibility?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=13,"accessibility is essential for individuals and organizations that want to create high-quality websites and apps – and not exclude people from using their products and services. this course gives you the foundation in accessibility you need to excel in digital professions. it is designed for: | optional material help you learn more about the topics you are most interested in. | in this course, you will learn about the international standards for web accessibility from the w3c – including web content accessibility guidelines (wcag) and wai-aria for accessible rich internet applications – and first steps in applying them. | you will also learn the broad scope of web accessibility, how people with disabilities use different assistive technologies and adaptive strategies, the business benefits of web accessibility, and where to find w3c resources on implementing accessibility. | the course is structured so that you can focus on the topics that you are most interested in. optional activities and additional materials provide more learning on specific topics. learnmore. | don’t miss this unique course from thew3c web accessibility initiative (wai)in cooperation with theunited nations educational, scientific and cultural organization (unesco) institute for information technology in education (iite). it brings together international expert trainers from deque, infoaxia, intopia, knowbility, the paciello group, and web key it, and implements the open curriculum developed by thew3c wai education and outreach working group (eowg).","accessibility, disabilities, accessible, web, assistive, w3c, guidelines, thew3c, educational, applications"
13,CS50's Introduction to Programming with Scratch,https://www.edx.org/learn/scratch-programming/harvard-university-cs50-s-introduction-to-programming-with-scratch?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=14,"an introduction to programming using scratch, a visual programming language via which aspiring programmers can write code by dragging and dropping graphical blocks (that resemble puzzle pieces) instead of typing out text. used at the start of harvard college's introductory course in computer science, cs50, scratch was designed at mit's media lab, empowering students with no prior programming experience to design their own animations, games, interactive art, and stories. using scratch, this course introduces students to fundamentals of programming, found not only in scratch itself but in traditional text-based languages (like java and python) as well. topics include: functions, which are instructions that perform tasks; return values, which are results that functions provide; conditions, via which programs can decide whether or not to perform some action; loops, via which programs can take action again and again; variables, via which programs can remember information; and more. ultimately, this course prepares students for subsequent courses in programming. | scratch is developed by the lifelong kindergarten group at the mit media lab. seescratch.mit.edu.","programming, programmers, programs, python, java, introductory, scratch, interactive, languages, students"
14,Computer Science 101,https://www.edx.org/learn/computer-science/stanford-university-computer-science-101?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=15,"cs101 is a self-paced course that teaches the essential ideas of computer science for a zero-prior-experience audience. computers can appear very complicated, but in reality, computers work within just a few, simple patterns. cs101 demystifies and brings those patterns to life, which is useful for anyone using computers today. | in cs101, participants play and experiment with short bits of ""computer code"" to bring to life to the power and limitations of computers. everything works within the browser, so there is no extra software to download or install. cs101 also provides a general background on computers today: what is a computer, what is hardware, what is software, what is the internet. anyone who has the ability to use a web browser may be successful in this course. no previous computer science experience is required.","cs101, computers, computer, web, browser, software, internet, code, hardware, using"
15,Cybersecurity Basics: Tools and Cyberattacks,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-basics-tools-and-cyberattacks?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=16,"cyberattacks have surged by 71% and are predicted to continue increasing. this alarming statistic highlights the continued demand for cybersecurity professionals. jumpstart your cybersecurity career with this introductory ibm course, which introduces you to fundamental cybersecurity concepts, threats, and preventive measures. | explore the evolution of cybersecurity and the motivations of the actors behind cyberattacks, including types such as malware, ransomware, and other security threats. you'll also relate critical thinking to common cybersecurity practices and architecture. | hear from industry experts regarding their own careers, skills, perspectives, and experiences. frameworks, standards, and organizations play a fundamental role in cybersecurity, which you will also investigate. | throughout, you’ll build practical knowledge and technical expertise through hands-on labs. your final project will enable you to effectively demonstrate your understanding of cybersecurity principles. | this course is for anyone who wants to know the basics of cybersecurity and is part of a series designed to help you start a career as a cybersecurity analyst.","cybersecurity, cyberattacks, security, ransomware, malware, ibm, threats, analyst, expertise, jumpstart"
16,Introduction to Kubernetes,https://www.edx.org/learn/kubernetes/the-linux-foundation-introduction-to-kubernetes?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=17,"is your team beginning to use kubernetes for container orchestration? do you need guidelines on how to start transforming your organization with kubernetes and cloud native patterns? would you like to simplify software container orchestration and find a way to grow your use of kubernetes without adding infrastructure complexity? then this is the course for you! | in this course, we'll discuss some of kubernetes' basic concepts and talk about the architecture of the system, the problems it solves, and the model that it uses to handle containerized deployments and scaling. | this course offers an introduction to kubernetes and includes technical instructions on how to deploy a stand-alone and multi-tier application. you’ll learn about configmaps and secrets, and how to use ingress. | upon completion, developers will have a solid understanding of the origin, architecture and building blocks for kubernetes, and will be able to begin testing the new cloud native pattern to begin the cloud native journey.","kubernetes, cloud, deployments, containerized, orchestration, container, infrastructure, ingress, architecture, deploy"
17,Data Science: Visualization,https://www.edx.org/learn/data-visualization/harvard-university-data-science-visualization?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=18,"as part of ourprofessional certificate program in data science, this course covers the basics of data visualization and exploratory data analysis. we will use three motivating examples and ggplot2, a data visualization package for the statistical programming language r. we will start with simple datasets and then graduate to case studies about world health, economics, and infectious disease trends in the united states. | we'll also be looking at how mistakes, biases, systematic errors, and other unexpected problems often lead to data that should be handled with care. the fact that it can be difficult or impossible to notice a mistake within a dataset makes data visualization particularly important. | the growing availability of informative datasets and software tools has led to increased reliance on data visualizations across many areas. data visualization provides a powerful way to communicate data-driven findings, motivate analyses, and detect flaws. this course will give you the skills you need to leverage data to reveal valuable insights and advance your career.","visualizations, visualization, ggplot2, data, datasets, dataset, exploratory, analyses, informative, insights"
18,Data Science and Agile Systems for Product Management,https://www.edx.org/learn/product-management/the-university-of-maryland-college-park-data-science-and-agile-systems-for-product-management?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=19,"modern systems today must be designed for agility in order to outpace the competition. concepts like agile, devops, and data science were once considered only for the technology-based companies. today that means every company. because there is no greater currency than timely information for optimizing operations and meeting the needs of customers. | modern product management requires that every development and operations value stream is identified and continuously improved. this means using lean and devops principles to streamline handoffs and information flows across teams. it means reorienting towards self-service and automation wherever possible. and to avoid incrementalism, it means a robust agile development process to keep innovations important and aggressive enough to make noticeable improvements in value delivery. | agile systems in a devops environment requires that products are built completely differently from a traditional designs. modularity, open set architectures, and flexible data management paradigms are a starting point. the evolutionary nature of the product with so much change enables functionality, design, and technology to drive and influence each other simultaneously. and beneath it all is a data collection and feedback loop essential for anticipating and reacting to business needs both for operations and marketing. | data science and analytics are the lifeblood of any product organization, and enable product managers to tackle risks early. luckily, new technologies allow us to collect and integrate data without extreme upfront constraints and onerous controls. this means all data is fair game, and when tagged and stored properly, can be made available at nearly any scale for preparation, visualization, analysis, and modeling. | we’ll teach you the paradigms, processes, and introduce some key technologies that make the data-driven product organization the optimal competitor in the market.","agile, devops, analytics, agility, development, automation, data, functionality, lean, incrementalism"
19,CS50's Computer Science for Lawyers,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-computer-science-for-lawyers?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=20,"this course is a variant of harvarduniversity's introduction to computer science, cs50, designed especially for lawyers (and law students). whereas cs50 itself takes a bottom-up approach, emphasizing mastery of low-level concepts and implementation details thereof, this course takes a top-down approach, emphasizing mastery of high-level concepts and design decisions related thereto. ultimately, it equips students with a deeper understanding of the legal implications of technological decisions made by clients. | through a mix of technical instruction and discussion of case studies, this course empowers students to be informed contributors to technology-driven conversations. in addition, it prepares students to formulate technology-informed legal arguments and opinions. along the way, it equips students with hands-on experience with python and sql, languages via which they can mine data for answers themselves. | topics include algorithms, cloud computing, databases, networking, privacy, programming, scalability, security, and more, with a particular emphasis on understanding how the work developers do and the technological solutions they employ may impact clients. students emerge from this course with first-hand appreciation of how it all works and all the more confident in the factors that should guide their decision-making. | keywords:law firm, computer programming, programming skills, computer programmers, patent attorney, legal practice, legal services, legal education, patent law","programming, programmers, computing, cs50, python, technological, lawyers, technology, developers, cloud"
20,Databases: Relational Databases and SQL,https://www.edx.org/learn/relational-databases/stanford-university-databases-relational-databases-and-sql?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=21,"about the database series of courses | ""databases"" was one of stanford's three inaugural massive open online courses in the fall of 2011. it has been offered in synchronous and then in self-paced versions on a variety of platforms continuously since 2011. the material is now being offered as a set of five self-paced courses, which can be taken in a variety of ways to learn about different aspects of databases. | relational databases and sqlis the most popular course in the databases series. it is applicable to learners seeking to gain a strong understanding of relational databases, and to master sql, the long-accepted standard query language for relational database systems. additional courses focus on advanced concepts in relational databases and sql, formal foundations and database design methodologies, and semistructured data. | all of the courses are based around video lectures and demos. many of them include quizzes between video segments to check understanding, in-depth standalone quizzes, and/or a variety of automatically-checked interactive exercises. each course also includes an unmoderated discussion forum and pointers to readings and resources. the courses are described briefly below. taught by professor jennifer widom, the overall curriculum draws from stanford's popular longstanding databases course. | why learn about databases | databases are incredibly prevalent -- they underlie technology used by most people every day if not every hour. databases reside behind a huge number of websites; they're a crucial component of telecommunications systems, banking systems, video games, and just about any other software system or electronic device that maintains some amount of persistent information. in addition to persistence, database systems provide a number of other properties that make them exceptionally useful and convenient: reliability, efficiency, scalability, concurrency control, data abstractions, and high-level query languages. databases are so ubiquitous and important that computer science graduates frequently cite their database class as the one most useful to them in their industry or graduate-school careers.","databases, database, sql, sqlis, relational, courses, curriculum, quizzes, lectures, learners"
21,Introduction to Probability,https://www.edx.org/learn/probability/harvard-university-introduction-to-probability?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=22,"probability and statistics help to bring logic to a world replete with randomness and uncertainty. this course will give you tools needed to understand data, science, philosophy, engineering, economics, and finance. you will learn not only how to solve challenging technical problems, but also how you can apply those solutions in everyday life. | with examples ranging from medical testing to sports prediction, you will gain a strong foundation for the study of statistical inference, stochastic processes, randomized algorithms, and other subjects where probability is needed.","statistics, statistical, randomness, stochastic, randomized, uncertainty, probability, data, study, inference"
22,Use AI for Everyday Tasks,https://www.edx.org/learn/computer-science/microsoft-use-ai-for-everyday-tasks?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=23,"use ai for everyday tasks"" equips you with the foundational knowledge and practical skills to leverage ai in your daily workflow. you'll begin by understanding the core concepts of generative ai, including llms and nlps, and explore their everyday applications, from smart assistants to ai agents. this course emphasizes responsible and effective ai usage, ensuring you can integrate these technologies ethically. dive into the basics of prompting, discover easy opportunities to experiment with ai, and try out sample prompts in copilot, such as drafting emails, developing study plans, and creating podcasts. commit to a daily ai experiment to build your skills incrementally. learn to personalize fill-in-the-blank prompts with specific goals, timelines, and topics in copilot, and use ""think deeper"" to expand on your results. identify valuable prompting resources like the copilot prompt gallery and scenario library. explore various ai tools and build on results using walkthrough examples. check your knowledge throughout the course, recap key points, and sign up for a 50-day challenge to deepen your learning. this course empowers you to confidently and effectively use ai to enhance your productivity and creativity.","ai, prompt, prompts, copilot, learning, developing, basics, drafting, skills, prompting"
23,Probability - The Science of Uncertainty and Data,https://www.edx.org/learn/probability/massachusetts-institute-of-technology-probability-the-science-of-uncertainty-and-data?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=24,"the world is full of uncertainty: accidents, storms, unruly financial markets, noisy communications. the world is also full of data. probabilistic modeling and the related field of statistical inference are the keys to analyzing data and making scientifically sound predictions. | probabilistic models use the language of mathematics. but instead of relying on the traditional ""theorem-proof"" format, we develop the material in an intuitive -- but still rigorous and mathematically-precise -- manner. furthermore, while the applications are multiple and evident, we emphasize the basic concepts and methodologies that are universally applicable. | the course covers all of the basic probability concepts, including: | the contents of this courseare heavily based upon the corresponding mit class --introduction to probability-- a course that has been offered and continuously refined over more than 50 years. it is a challenging class but will enable you to apply the tools of probability theory to real-world applications or to your research. | this course is part of themitx micromasters program in statistics and data science. master the skills needed to be an informed and effective practitioner of data science. you will complete this course and three others from mitx, at a similar pace and level of rigor as an on-campus course at mit, and then take a virtually-proctored exam to earn your micromasters, an academic credential that will demonstrate your proficiency in data science or accelerate your path towards an mit phd or a master's at other universities. to learn more about this program, please visithttps://micromasters.mit.edu/ds/.","probabilistic, statistics, statistical, uncertainty, probability, modeling, mathematics, inference, models, data"
24,Google Cloud Computing Foundations: Cloud Computing Fundamentals,https://www.edx.org/learn/cloud-computing/google-cloud-google-cloud-computing-foundations-cloud-computing-fundamentals?index=product&queryId=27b63c2d694c9cbf7ca38ae698790a3d&position=25,"cloud computing is revolutionizing today’s world. it affects the way we communicate, do business, interact with everyday things and one another. this course discusses the fundamental theoretical and practical applications of cloud computing. it provides the basic concepts to understand why cloud computing is and will be such an important part of future jobs and businesses. it focuses on google cloud’s extended solutions and compute options.","cloud, computing, applications, extended, google, business, compute, businesses, options, jobs"
25,Introduction to Linux,https://www.edx.org/learn/linux/the-linux-foundation-introduction-to-linux?index=product&queryId=27b63c2d694c9cbf7ca38ae698790a3d&position=26,"develop a good working knowledge of linux using both the graphical interface and command line, covering the major linux distribution families. | linux powers 100% of the world’s supercomputers, most of the servers powering the internet, the majority of financial trades worldwide and over two billion android devices. in short, linux is everywhere. it appears in many different architectures, from mainframes to server to desktop to mobile and on a staggeringly wide variety of hardware. | moreover, 80 percent of hiring managers reported that they will prioritize hiring linux talent relative to other skills areas, and 47 percent of hiring managers say they’re more likely to hire a candidate with linux certification. | this course explores the various tools and techniques commonly used by linux system administrators and end users to achieve their day-to-day work in a linux environment. it is designed for experienced computer users who have limited or no previous exposure to linux, whether they are working in an individual or enterprise environment. | upon completion of this training you should have a good working knowledge of linux, from both a graphical and command line perspective, allowing you to easily navigate through any of the major linux distributions. you will be able to continue your progress as either a user, system administrator or developer using the acquired skill set. | join the 1,000,000+ learners who are already enrolled in this course and start your linux journey.","linux, developer, android, supercomputers, administrator, certification, training, administrators, hardware, hiring"
26,Introduction to Generative AI,https://www.edx.org/learn/computer-science/ibm-introduction-to-generative-ai?index=product&queryId=27b63c2d694c9cbf7ca38ae698790a3d&position=27,"this course is your first step toward understanding the capabilities of generative ai, powered by different models, including large language models (llms). | in this course, you will learn about the fundamentals and evolution of generative ai. you will explore the capabilities of generative ai in different domains, including text, image, audio, video, virtual worlds, code, and data. you will understand the applications of generative ai across different sectors and industries. you will learn about the capabilities and features of common generative ai models and tools, such as gpt, dall-e, stable diffusion, and synthesia. | hands-on labs, included in the course, provide an opportunity to explore the use cases of generative ai through ibm generative ai classroom and popular tools like chatgpt. you will also hear from the practitioners about the capabilities, applications, and tools of generative ai. | this course is designed for everyone, including professionals, executives, students, and enthusiasts, interested in learning about generative ai and leveraging its capabilities in their work and lives.","generative, ai, learning, tools, chatgpt, models, capabilities, learn, leveraging, language"
27,"Introduction to Web Development with HTML5, CSS3, and JavaScript.",https://www.edx.org/learn/web-development/ibm-introduction-to-web-development-with-html5-css3-and-javascript?index=product&queryId=27b63c2d694c9cbf7ca38ae698790a3d&position=28,"please note: learners who successfully complete this ibm course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. enroll to learn more, complete the course and claim your badge! | want to take the first steps to become a cloud application developer? this self-paced online course will lead you through the programming languages and tools you will need to develop your own cloud and web applications. | beginning with an explanation of how internet servers, and clients work together to deliver applications to users, this course takes you through the context for application development in the cloud, introducing front-end, back-end, and full stack development. | you’ll then focus on the languages you need for front-end development, working with html5, css3, and javascript. | finally, you will discover tools such as git, github, and gitlab, that help you to store your projects and keep track of changes made to project files (version control) and enable collaboration and continuos deployment.","cloud, developer, programming, github, web, ibm, git, deployment, development, develop"
28,Circuits and Electronics 1: Basic Circuit Analysis,https://www.edx.org/learn/circuits/massachusetts-institute-of-technology-circuits-and-electronics-1-basic-circuit-analysis?index=product&queryId=27b63c2d694c9cbf7ca38ae698790a3d&position=29,"want to learn about circuits and electronics, but unsure where to begin? wondering how to make computers run faster or your mobile phone battery last longer? this free circuits course taught by edx ceo and mit professor anant agarwal and colleagues is for you. | this is the first of three online circuits & electronics courses offered by professor anant agarwal and colleagues at mit, and is taken by all mit electrical engineering and computer science (eecs) majors. | topics covered include: resistive elements and networks; circuit analysis methods including kvl, kcl and the node method; independent and dependent sources; linearity, superposition, thevenin & norton methods; digital abstraction, combinational gates; and mosfet switches and small signal analysis. design and lab exercises are also significant components of the course. | weekly coursework includes interactive video sequences, readings from the textbook, homework, online laboratories, and optional tutorials. the course will also have a final exam. | this is a self-paced course, so there are no weekly deadlines. however, all assignments are due when the course ends.","circuits, electronics, circuit, electrical, tutorials, courses, coursework, textbook, engineering, mosfet"
