Course Name,Course URL,Detailed Description
Data Manipulation with pandas,https://www.datacamp.com/courses/data-manipulation-with-pandas,"Discover Data Manipulation with pandas | With this course, you’ll learn why pandas is the world's most popular Python library, used for everything from data manipulation to data analysis. You’ll explore how to manipulate DataFrames, as you extract, filter, and transform real-world datasets for analysis. | With pandas, you’ll explore all the core data science concepts. Using real-world data, including Walmart sales figures and global temperature time series, you’ll learn how to import, clean, calculate statistics, and create visualizations—using pandas to add to the power of Python. | Work with pandas Data to Explore Core Data Science Concepts | You’ll start by mastering the pandas basics, including how to inspect DataFrames and perform some fundamental manipulations. You’ll also learn about aggregating DataFrames, before moving on to slicing and indexing. | You’ll wrap up the course by learning how to visualize the contents of your DataFrames, working with a dataset that contains weekly US avocado sales. | Learn to Manipulate DataFrames | By completing this pandas course, you’ll understand how to use this Python library for data manipulation. You’ll have an understanding of DataFrames and how to use them, as well as be able to visualize your data in Python."
Supervised Learning with scikit-learn,https://www.datacamp.com/courses/supervised-learning-with-scikit-learn,"Grow your machine learning skills with scikit-learn and discover how to use this popular Python library to train models using labeled data. In this course, you'll learn how to make powerful predictions, such as whether a customer is will churn from your business, whether an individual has diabetes, and even how to tell classify the genre of a song. Using real-world datasets, you'll find out how to build predictive models, tune their parameters, and determine how well they will perform with unseen data."
Understanding Cloud Computing,https://www.datacamp.com/courses/understanding-cloud-computing,"Learn About Cloud Computing | Every day, we interact with the cloud—whether it’s using Google Drive, apps like Salesforce, or accessing our favorite websites. Cloud computing has become the norm for many companies, but what exactly is the cloud, and why is everyone rushing to adopt it? | Designed for complete novices, this cloud computing course breaks down what the cloud is and explains terminology such as scalability, latency, and high-availability. | Understand the Cloud Computing Basics | You’ll start by looking at the very basics of cloud computing, learning why it’s growing in popularity, and what makes it such a powerful option. You’ll explore the different service models businesses can choose from and how they're implemented in different situations. | As this is a no-code course, you can learn about cloud computing at a more conceptual level, exploring ideas of data protection, the various cloud providers, and how organizations can use cloud deployment. | Discover the Advantages of Cloud Computing | This course will demonstrate the many advantages of cloud computing, including ease of remote collaboration, how there are no hardware limitations, and reliable disaster recovery. | As you progress, you'll also discover the range of tools provided by major cloud providers and look at cloud computing examples from Amazon Web Services (AWS), Microsoft Azure, and Google Cloud. By the end of this course, you'll be able to confidently explain how cloud tools can increase productivity and save money, as well as ask the right questions about how to optimize your use of cloud tools."
Understanding ChatGPT,https://www.datacamp.com/courses/understanding-chatgpt,"An Introduction to ChatGPT | ChatGPT, by OpenAI, is a conversational language model that has gripped headlines worldwide, placing the power of AI at your fingertips. In this course, you’ll learn everything you need to know to begin using ChatGPT effectively and responsibly. No prior knowledge is required. Start learning about the capabilities and limitations of ChatGPT today, so you can start effectively leveraging the power of AI. | Learn Best Practices For Writing Prompts | ChatGPT can perform some truly remarkable feats, but only if the information provided is clear and interpretable. The first half of this course will teach you the best practices for prompting ChatGPT to generate the highest-quality and most relevant content. | Translate ChatGPT Into Business Value | You'll learn about common business use cases for ChatGPT, such as text summarization, explaining complex concepts, drafting marketing content, and generating and explaining code. You'll also learn how to apply a framework to identify new, suitable use cases to integrate ChatGPT. | By the time you complete this course, you’ll have the confidence to use ChatGPT in various situations, improving your speed and efficiency in a host of different tasks."
Introduction to Data Literacy,https://www.datacamp.com/courses/introduction-to-data-literacy,"Explore the Basics of Data Literacy | Data is all around us, which makes data literacy an essential life skill. It is a skill that empowers you to ask the right questions about data and choose the right tools to read, interpret and communicate data. This non-technical course will equip you with the necessary knowledge and skill to feel confident around data and understand how data can be used to gain actionable insights and drive change. | Through hands-on exercises, you’ll learn how to get from data to insights, how data drives decision-making, how to collect and manage data, the four types of analytics and how to use storytelling and visualization to improve your data communication, and more. | You’ll start with the basics, understanding why data literacy is important and why you should take steps to become data literate. You’ll also learn how to use data to your advantage, from gaining insights to making decisions. | Get a Deeper Understanding of Data | Next, you’ll discover how to identify data sources, looking at some of the most common types, how to manage them, and what to do when you run into problems with your data. | In the second half of this data literacy course, you’ll focus on how you can gain insights by using data analytics. As well as exploring the different types of analysis and when to perform them, you’ll also learn about presenting your findings with impact using data visualizations and storytelling. | By the time you’re finished, you’ll have a strong understanding of why data literacy is so essential in the modern world, as well as some of the fundamentals of identifying the right types of data for you to use."
Introduction to ChatGPT,https://www.datacamp.com/courses/introduction-to-chatgpt,"ChatGPT is an incredibly powerful tool - but only if you know how to use it effectively. This course features an AI Assistant that provides real-time support, feedback, and scoring to help refine your prompting skills and improve your use of ChatGPT.  You’ll learn how to craft precise prompts, refine AI-generated responses, and avoid common mistakes that lead to vague or misleading answers. | Master the Art of Prompting | Great AI responses start with great prompts!   In this course, you'll explore how ChatGPT processes language and predicts responses.   You’ll practice crafting clear, concise prompts and learn how small tweaks can make a big difference in AI output.   Through hands-on exercises, you’ll see how different prompts affect response quality and better understand how ChatGPT interprets your words. | Precision and Pitfalls | ChatGPT may sound confident, but it’s not always right!   You’ll discover the limitations of AI, including privacy risks, misinformation, and hallucinated facts.   You’ll learn to fact-check AI-generated content and use ChatGPT responsibly - especially when dealing with sensitive or high-stakes topics.  With these skills, you can make AI work for you while knowing its strengths and weaknesses.   By the end of this course, you’ll think like an AI pro, prompt smarter, and get better, more reliable results."
Introduction to Python for Developers,https://www.datacamp.com/courses/introduction-to-python-for-developers,"What is Python and why use it? | Learn all about Python a versatile and powerful language, perfect for software development. No prior experience required! | Learn the fundamentals | Perform calculations, store and manipulate information in variables using various data structures, and write descriptive comments describing your code to others. | Build your workflow | Use comparison operators in combination with for and while loops to execute code based on conditions being met, enabling a fully customizable workflow."
Understanding Data Engineering,https://www.datacamp.com/courses/understanding-data-engineering,"Understand the Basics of Data Engineering | In this course, you’ll learn about a data engineer’s core responsibilities, how they differ from data scientists, and facilitate the flow of data through an organization. Through hands-on exercises you’ll follow Spotflix, a fictional music streaming company, to understand how their data engineers collect, clean, and catalog their data. | Apply in Personal Cases | By the end of the course, you’ll understand what your company's data engineers do, be ready to have a conversation with a data engineer, and have a solid foundation to start your own data engineer journey."
Understanding Prompt Engineering,https://www.datacamp.com/courses/understanding-prompt-engineering,"Master ChatGPT: Revolutionize your workflow | Learn how ChatGPT, the world’s groundbreaking language model, can transform your workflow. Designed for beginners, you’ll gain essential prompt engineering skills that you can immediately apply to your creative or business processes. You’ll also learn how to expand ChatGPT’s capabilities with techniques like zero-shot, one-shot, and few-shot learning. | Evaluate and ensure quality | Develop critical evaluation skills to ensure the accuracy and relevance of ChatGPT’s responses. Learn best practices for monitoring and refining the model's performance, and maintaining high standards in your projects. | Tap into the full potential of ChatGPT | Integrate ChatGPT into your daily processes to save time and boost productivity. | By mastering these skills, you’ll streamline your workflow and benefit from the rapidly evolving pace of generative AI. Upon completing this course, you'll gain a deeper understanding of prompt engineering—increasing your efficiency and output when using generative AI."
Introduction to Data,https://www.datacamp.com/courses/introduction-to-data,"Gain an Introduction to Data | In this course, you'll dive into the exciting and growing world of data and learn how to use it to make smart decisions as it becomes increasingly important to know at least the basics. | You'll start by exploring the basics of data, including data types and data structures and how valuable data can be in decision-making. You'll also learn about the growing data bubble and how it's changing the world. | You'll learn about the DIKW framework, which is a framework that describes the relationship between data, information, knowledge, and wisdom. | Go Beyond the Data Basics | The last part of this course will cover some more advanced topics in data. You'll begin with a discussion of data ethics, including data privacy. Next, you'll learn about the data life cycle framework, which describes the steps involved in working with data. Finally, you'll learn about common data mistakes and how to avoid them. | By the end of this course, you'll have a solid understanding of the concepts and principles of data and how it is used to make smart decisions, as well as some best practices in data handling. The course will be hands-on, with a mix of videos and interactive exercises to help you build practical skills you can apply in your field. | Introduction to Data is the ideal course for everyone looking to gain a broad understanding of data."
Data Manipulation in SQL,https://www.datacamp.com/courses/data-manipulation-in-sql,"So you've learned how to aggregate and join data from tables in your database—now what? How do you manipulate, transform, and make the most sense of your data? This intermediate-level course will teach you several key functions necessary to wrangle, filter, and categorize information in a relational database, expand your SQL toolkit, and answer complex questions. You will learn the robust use of CASE statements, subqueries, and window functions—all while discovering some interesting facts about soccer using the European Soccer Database."
Introduction to DAX in Power BI,https://www.datacamp.com/courses/introduction-to-dax-in-power-bi,"Learn the DAX Fundamentals | Start your journey to becoming a DAX master with this introductory course on DAX. You’ll learn fundamental concepts and best practices for implementing DAX in your reports. | Create Calcualted Columns, Measures and Tables | You’ll learn to write DAX code to generate calculated columns, measures, and tables while learning supporting knowledge around ‘context’ in Power BI. Finally, we’ll round off the course by introducing time-intelligence functions and show you how to use Quick Measures to create complex DAX code. | Let’s take the first step in your DAX mastery journey!"
Introduction to Tableau,https://www.datacamp.com/courses/introduction-to-tableau,"Gain a Comprehensive Introduction to Tableau | Tableau is a widely used BI and analytics software trusted by companies like Amazon and Unilever to explore, create, and securely share contextualized data. In this course, you will learn how to build data visualizations, conduct data analyses and adopt best practices of data formatting with Tableau. | Discover what Tableau is Used for and How to Visualize Data | With its user-friendly drag-and-drop functionality, Tableau can be used by everyone to quickly clean, analyze, and visualize your team’s data. This course can show you how.  You’ll begin the course by understanding Tableau’s fundamental concepts and features, such as how to load data and workbooks and understanding the interface. You will then create your first visualization with Tableau using an Airbnb dataset. | Build your Own Tableau Dashboard | The final chapters explore best practices for formatting and presenting your data with Tableau, including creating a dual-axis graph, understanding the differences between a worksheet, dashboard, and story, and finally, creating your very first Tableau dashboard.  By the end of this course, you’ll have the skills you need to confidently explore Tableau and build impactful data dashboards. Check out our Tableau Fundamentals track to further develop your Tableau skills."
Data Analysis in Excel,https://www.datacamp.com/courses/data-analysis-in-excel,"Exploring PivotTables | You will learn how to extract valuable insights and uncover secrets hidden within your data using the power of PivotTables. Additionally, you’ll learn how to use keyboard shortcuts to speed up your workflow. | Intermediate Logical Functions | You’ll identify your ideal customer profile using logical functions and create targeted marketing strategies. You’ll explore the concept of customer segmentation and gain the skills to maximize customer success, increase revenue and boost business growth. | What-if Analysis | You’ll master the art of scenario analysis using Excel’s built-in What-If Analysis tool. You’ll understand how different variables can impact your sales, perform sensitivity analysis and use it to make informed predictions to stay ahead in dynamic business environments. | Forecasting | You will unlock the power of forecasting to anticipate future trends and visualize this data for your stakeholders. You’ll leverage moving averages and trendlines to communicate your findings."
Understanding Data Visualization,https://www.datacamp.com/courses/understanding-data-visualization,"Visualizing data using charts, graphs, and maps is one of the most impactful ways to communicate complex data. In this course, you’ll learn how to choose the best visualization for your dataset, and how to interpret common plot types like histograms, scatter plots, line plots and bar plots. You'll also learn about best practices for using colors and shapes in your plots, and how to avoid common pitfalls. Through hands-on exercises, you'll visually explore over 20 datasets including global life expectancies, Los Angeles home prices, ESPN's 100 most famous athletes, and the greatest hip-hop songs of all time."
Data Visualization in Power BI,https://www.datacamp.com/courses/data-visualization-in-power-bi,"Create Insightful Visualizations | Power BI has extraordinary visuals that can be used in reports and dashboards. In this Power BI course, you’ll learn to create insightful visualizations through built-in and customized charts and conditional formatting. | Discover New Chart Options | You’ll discover how to create a plethora of visualizations such as scatter plots, tornado charts, gauges, and how to visualize everything without overwhelming your audience."
Introduction to Statistics in Python,https://www.datacamp.com/courses/introduction-to-statistics-in-python,"Statistics is the study of how to collect, analyze, and draw conclusions from data. It’s a hugely valuable tool that you can use to bring the future into focus and infer the answer to tons of questions. For example, what is the likelihood of someone purchasing your product, how many calls will your support team receive, and how many jeans sizes should you manufacture to fit 95% of the population? In this course, you'll discover how to answer questions like these as you grow your statistical skills and learn how to calculate averages, use scatterplots to show the relationship between numeric values, and calculate correlation. You'll also tackle probability, the backbone of statistical reasoning, and learn how to use Python to conduct a well-designed study to draw your own conclusions from data."
Introduction to Git,https://www.datacamp.com/courses/introduction-to-git,"Discover the fundamentals of version control with Git | This course introduces the concept of version control and highlights its benefits for software and data projects. You'll learn about Git, the popular software for implementing version control in projects, and use it to create repositories and track files. | Dive into Git's storage functionality | Discover how Git stores data through blobs, trees, and commits. Use this information to compare the state of your project at different points in time, understanding what changes have been made, by who, and when. Learn valuable tips and tricks to customize your view of a repository's history and how to undo changes to revert files! | Get control of your project's history | Mistakes happen, but with Git, you don't need to worry. You'll learn how to easily undo changes and revert files to previous states, allowing you to avoid bugs and keep driving your projects forward!"
Working with the OpenAI API,https://www.datacamp.com/courses/working-with-the-openai-api,"Discover How to Access AI Models from the OpenAI API | Over recent years, OpenAI has emerged as a market leader in creating AI models, such as GPT-4o, and releasing them to the wider community through applications like ChatGPT. These models can transform not only the way you work but also the products and services that businesses provide to customers. | To begin extracting business value from OpenAI's models, you'll need to learn to work with their Application Programming Interface, or API. Throughout the course, you'll learn to use Python code to send requests to use OpenAI's models. | Solve Real-World Problems Using AI Models | The AI models accessible through the OpenAI API have a wide range of potential applications. In this course, you'll use AI to generate and transform text content, perform sentiment analysis, and categorization. | Begin Developing AI Applications | As AI becomes more accessible to individuals and organizations, the bar for developing AI-driven product features and automations continues to fall. Right now, every organization has the capability to begin using AI to streamline business processes and develop more personalized customer experiences. The OpenAI API provides easy access for software engineers and developers to start integrating AI into new applications and systems."
Understanding Machine Learning,https://www.datacamp.com/courses/understanding-machine-learning,"Gain an Introduction to Machine Learning Concepts | What's behind the machine learning hype? In this non-technical course, you’ll learn everything you’ve been too afraid to ask about machine learning. There’s no coding required. | You will explore basic yet essential concepts to start your machine learning journey, using hands-on exercises to cement your knowledge. This includes developing an understanding beyond the jargon and learning how this exciting technology powers everything from self-driving cars to your personal Amazon shopping suggestions. | Explore the Machine Learning Basics | How does machine learning work, when can you use it, and what is the difference between AI and machine learning? This course covers all of these topics. | You’ll start by unpacking what machine learning is, exploring its basic definition and its relation to data science and artificial intelligence. Then, you will familiarize yourself with its vocabulary and end with the machine learning workflow for building models. | We wrap up the course by digging deeper into deep learning. You will explore two common use cases for deep learning: computer vision and natural language processing (NLP), and acknowledge the limits and dangers of machine learning."
Introduction to Statistics,https://www.datacamp.com/courses/introduction-to-statistics,"Statistics are all around us, from marketing to sales to healthcare. The ability to collect, analyze, and draw conclusions from data is not only extremely valuable, but it is also becoming commonplace to expect roles that are not traditionally analytical to understand the fundamental concepts of statistics. This course will equip you with the necessary skills to feel confident in working with analyzing data to draw insights. You'll be introduced to common methods used for summarizing and describing data, learn how probability can be applied to commercial scenarios, and discover how experiments are conducted to understand relationships and patterns. You'll work with real-world datasets including crime data in London, England, and sales data from an online retail company!"
Joining Data with pandas,https://www.datacamp.com/courses/joining-data-with-pandas,"Being able to combine and work with multiple datasets is an essential skill for any aspiring Data Scientist. pandas is a crucial cornerstone of the Python data science ecosystem, with Stack Overflow recording 5 million views for pandas questions. Learn to handle multiple DataFrames by combining, organizing, joining, and reshaping them using pandas. You'll work with datasets from the World Bank and the City Of Chicago. You will finish the course with a solid skillset for data-joining in pandas."
Communicating Data Insights,https://www.datacamp.com/courses/communicating-data-insights,"Understand the Importance of Data-driven Insights | Data-driven organizations consistently rely on insights to inspire action and drive change. Communicating these insights clearly and effectively is becoming increasingly important to stand out in our data-rich environment. This non-technical course will give you the skills to feel confident in understanding and communicating data insights. | You’ll start by learning why insights from data are valuable to organizations and how to select the proper method for sharing your knowledge with others. You’ll learn to distinguish between the four types of communication and understand the strengths and weaknesses of each. | Explore the Power of Visualizations | You will uncover why visualizations are one of the most powerful tools for communicating data insights. You’ll also explore how to apply best practices and internalize the core concepts behind compelling visualizations. | You’ll finish by diving into data storytelling to bring all your new skills to life in one neat package. By the end of the course, you’ll have leveled up your communication skills through the power of narrative, visualizations, and context to become an expert communicator with data."
Exploratory Data Analysis in SQL,https://www.datacamp.com/courses/exploratory-data-analysis-in-sql,"You have access to a database. Now what do you do? Building on your existing skills joining tables,  using basic functions, grouping data, and using subqueries, the next step in your SQL journey is  learning how to explore a database and the data in it.  Using data from Stack Overflow, Fortune 500 companies, and 311 help requests  from Evanston, IL, you'll get familiar with numeric, character, and date/time data types. You'll use  functions to aggregate, summarize, and analyze data without leaving  the database. Errors and inconsistencies in the data won't stop you!  You'll learn common problems to look for  and strategies to clean up messy data. By the end of this course, you'll be ready to start exploring your  own PostgreSQL databases and analyzing the data in them."
Exploratory Data Analysis in Python,https://www.datacamp.com/courses/exploratory-data-analysis-in-python,"So you’ve got some interesting data - where do you begin your analysis? This course will cover the process of exploring and analyzing data, from understanding what’s included in a dataset to incorporating exploration findings into a data science workflow. | Using data on unemployment figures and plane ticket prices, you’ll leverage Python to summarize and validate data, calculate, identify and replace missing values, and clean both numerical and categorical values. Throughout the course, you’ll create beautiful Seaborn visualizations to understand variables and their relationships. | For example, you’ll examine how alcohol use and student performance are related. Finally, the course will show how exploratory findings feed into data science workflows by creating new features, balancing categorical features, and generating hypotheses from findings. | By the end of this course, you’ll have the confidence to perform your own exploratory data analysis (EDA) in Python.You’ll be able to explain your findings visually to others and suggest the next steps for gathering insights from your data!"
AI Ethics,https://www.datacamp.com/courses/ai-ethics,"Get an Overview of AI Ethics | This introductory course on AI ethics provides a comprehensive overview of ethical considerations in the fast-paced domain of artificial intelligence. The course spans industry, policy-making, academia, and society at large, covering principles of AI ethics, strategies to foster fair and equitable AI systems, approaches to minimize biases, and methods to address key issues and establish user trust. | Ethical Principles and Challenges | Throughout the course, you will learn about the core principles of ethical AI and expand your understanding of common challenges and opportunities in the field of AI ethics. Through hands-on exercises, you will build your skills to craft ethical AI by design. Begin Learning today!"
Introduction to Deep Learning with PyTorch,https://www.datacamp.com/courses/introduction-to-deep-learning-with-pytorch,"Understanding the power of Deep Learning | Deep learning is everywhere: in smartphone cameras, voice assistants, and self-driving cars. It has even helped discover protein structures and beat humans at the game of Go. Discover this powerful technology and learn how to leverage it using PyTorch, one of the most popular deep learning libraries. | Train your first neural network | First, tackle the difference between deep learning and ""classic"" machine learning. You will learn about the training process of a neural network and how to write a training loop. To do so, you will create loss functions for regression and classification problems and leverage PyTorch to calculate their derivatives. | Evaluate and improve your model | In the second half, learn the different hyperparameters you can adjust to improve your model. After learning about the different components of a neural network, you will be able to create larger and more complex architectures. To measure your model performances, you will leverage TorchMetrics, a PyTorch library for model evaluation. | Upon completion, you will be able to leverage PyTorch to solve classification and regression problems on both tabular and image data using deep learning. A vital capability for experienced data professionals looking to advance their careers."
Database Design,https://www.datacamp.com/courses/database-design,"A good database design is crucial for a high-performance application. Just like you wouldn't start building a house without the benefit of a blueprint, you need to think about how your data will be stored beforehand. Taking the time to design a database saves time and frustration later on, and a well-designed database ensures ease of access and retrieval of information. While choosing a design, a lot of considerations have to be accounted for. In this course, you'll learn how to process, store, and organize data in an efficient way. You'll see how to structure data through normalization and present your data with views. Finally, you'll learn how to manage your database and all of this will be done on a variety of datasets from book sales, car rentals, to music reviews."
Case Study: Analyzing Customer Churn in Power BI,https://www.datacamp.com/courses/case-study-analyzing-customer-churn-in-power-bi,"Are you ready to apply your Power BI skills to a real-world dataset? | Apply your Power BI skills with a Case Study | For subscription-based businesses, reducing customer churn is a top priority. In this Power BI case study, you'll investigate a dataset from an example telecom company called Databel and analyze their churn rates. | Understand why customers churn | Analyzing churn doesn’t just mean knowing what the churn rate is: it’s also about figuring out why customers are churning at the rate they are, and how to reduce churn. You'll answer these questions by creating measures and calculated columns while simultaneously creating eye-catching report pages."
Generative AI Concepts,https://www.datacamp.com/courses/generative-ai-concepts,"Get Acquainted with Generative AI | Artificial Intelligence is reshaping our world like never before. Generative AI is a type of AI model that can create new content, from text to images and more. In this non-technical course, you will learn this emerging field's key concepts and how to prepare for a future where such AIs are pervasive. | Understand How Generative AI Works | You'll start by comprehending how these models create content, where they fit into the machine learning landscape, and how they are developed. From gathering training data to evaluating and improving models, you'll learn what AI companies must consider and do to bring generative AI tools into the world. | Explore Key Legal and Ethical Considerations | Given the power of generative AI, we will also consider how laws and ethics play into building and using these models. You'll learn how to avoid bias and apply generative AI in a responsible way. | Get the Right Mindset for Utilizing These Tools | Finally, you’ll look at the future of generative AI and how we can leverage and collaborate effectively with these tools. After this course, you, too, will be able to unlock the creative capabilities of generative AI. Let's go!"
